Likelihood,0 < |s| <= 1e-5,1e-5 < |s| <= 1e-4,1e-4 < |s| <= 1e-3,1e-3 < |s| <= 1e-2,1e-2 < |s| <= 1
-1464.4662252051137,0.2908470911840647,6.198860118584331e-12,0.27496432072501337,0.3284459678531398,0.10574262023158325
-1464.4662201567198,0.29084786381584854,1.4712612028742848e-12,0.2749631260231428,0.32844781912668225,0.1057411910328551
-1464.466217744331,0.290848653334943,6.4917577640799615e-12,0.274962227318343,0.3284462547399452,0.1057428646002772
-1464.4662174244702,0.2908502508226141,0.0,0.2749581337038252,0.3284524986193339,0.10573911685602903
-1464.4662166666358,0.29084902310166216,0.0,0.27496150790775276,0.3284470973421903,0.10574237165423989
-1464.466216598545,0.2908491177679765,0.0,0.27496071663542726,0.3284504553425325,0.10573971025766218
-1464.466216369947,0.29084979234470537,0.0,0.27496008284657175,0.3284472747377144,0.10574285007108448
-1464.4662150801794,0.29084894335285005,2.633974734726947e-12,0.2749618152077745,0.32844725179078527,0.10574198964595617
-1464.4662123141393,0.29084890059460466,0.0,0.27496220925814396,0.3284473322020039,0.10574155795056969
-1464.466210961574,0.2908492009640203,0.0,0.27496206997435435,0.3284459377269365,0.10574279134134631
-1464.4662072703866,0.2908496883916841,0.0,0.2749599312209738,0.328455160067674,0.10573522032372384
-1464.466206251685,0.29085101579583916,6.218629100161396e-12,0.2749595271748,0.3284445863354388,0.10574487068770339
-1464.4662061343852,0.29084856665322883,0.0,0.27496384837839943,0.328445870856863,0.10574171413446669
-1464.4662049712656,0.2908508633122186,1.7393470200471807e-18,0.2749611936942034,0.3284382832159033,0.10574965978004465
-1464.4662036944758,0.2908489832253234,2.2321432266295734e-11,0.2749636539897255,0.32844429203318726,0.1057430707294425
-1464.4661781180098,0.29085142901845445,1.1150002092068794e-12,0.27496211303394635,0.3284447983305356,0.1057416596159488
-1464.4661496855356,0.2908225292471642,3.9944203801608667e-13,0.27503734551292885,0.3283998423359197,0.10574028290400035
-1464.4661437995826,0.290882604590429,7.254935137982401e-12,0.27489543114246967,0.3285523275417515,0.10566963672159162
-1464.4661253730883,0.29082560276605707,1.735962296872547e-11,0.2750343412283636,0.3284117129528335,0.10572834303538622
-1464.4661071488038,0.2908665778010679,4.163983967433409e-22,0.2749388510616188,0.3284715674115737,0.10572300372758814
-1464.4660856404128,0.29085321630294836,2.704105864000939e-11,0.27496891980266985,0.3284785269873458,0.10569933687999489
-1464.466025324248,0.2908733941884858,4.022868363245689e-12,0.2749402431035682,0.32853121812798636,0.10565514458035166
-1464.4660188726566,0.2909055038471861,5.997019491829671e-10,0.274882561731817,0.32849979491996006,0.10571213890133498
-1464.4660140377327,0.2909118983295953,7.753646485910819e-12,0.27487293006681923,0.3285065130787311,0.10570865851710078
-1464.4658910079977,0.29091046018682193,1.6982530768225555e-12,0.2749566174974863,0.32827438551736815,0.10585853680095521
