Likelihood,alpha,beta
-1474.1724369966194,0.255171648111296,476.81956970777446
-1474.1734075643033,0.2551308212833836,477.1250374164047
-1474.1729719325876,0.2551425400136547,477.0651144198511
-1474.1730982552406,0.25513888036567306,477.0859179670843
-1474.1733433170598,0.2551324341837954,477.117695764802
-1474.1711564207246,0.25529852854841495,475.88815533063763
-1474.1733934531371,0.25513119153643243,477.12319823760663
-1474.1734034830724,0.2551309592859818,477.1240730919109
-1474.1724926825536,0.25520597827375524,476.4876710969125
-1474.1734206813826,0.2551304779925802,477.1267362933019
-1474.1733654480713,0.25513190037555655,477.1199163305047
-1474.1714709173525,0.2551827281937096,476.87466913662524
-1474.1734206832273,0.2551304779564924,477.12673637932926
-1474.173416668051,0.2551305814263583,477.1262387223597
-1474.1710105886607,0.2551954050496156,476.81582866924373
-1474.1727876156476,0.25515268244327044,476.9735736146979
-1474.1731965453548,0.2551395130639212,477.05550166448126
-1474.1734190219588,0.25513052013278703,477.1265393675973
-1474.1734206763547,0.2551304781235461,477.1267356729218
-1474.1734206833003,0.255130477956062,477.1267363702088
-1474.1734206832082,0.2551304779475833,477.1267364739384
-1474.1725920066226,0.2551539779852481,476.9980967649487
-1474.1719622585595,0.2552379058927135,476.2775654222407
-1474.1703598073889,0.2552255314380586,476.5923399683906
-1474.173301646232,0.2551298442553611,477.16662240824553
