Likelihood,alpha,beta
-1452.4298623148866,0.1655546028172047,1169.7051016415296
-1452.4245214171717,0.1656790801846162,1167.496474580268
-1452.4238023612843,0.1657195490682402,1166.611603769638
-1452.4347536704247,0.16543293552346144,1173.0980750949302
-1452.4308932444437,0.16547657036443908,1173.0900413668314
-1452.428259799539,0.16556999883447635,1172.6696215453558
-1452.4308401701903,0.16548376133589546,1173.9865439439102
-1452.4352539814975,0.16540633043195338,1174.5124675784189
-1452.4353341813296,0.16540501798546342,1174.5504462184615
-1452.435334422645,0.1654050143349615,1174.5505323865168
-1452.4293422718092,0.1655490079116992,1173.2823799942937
-1452.4316814749343,0.16551695109079645,1170.5341244288268
-1452.4259837977556,0.16562253109572758,1168.752008965005
-1452.4234063058975,0.1657156534011709,1167.0269417549857
-1452.4276025426864,0.1655891646661928,1169.2631606809953
-1452.435334128035,0.16540501446575903,1174.5508447361728
-1452.4352213487591,0.1654105253438787,1174.1907233199631
-1452.4350357833937,0.16540824515217087,1174.5786332891055
-1452.4351239767384,0.16540437496932656,1175.020077542942
-1452.4270122028702,0.16558510309738608,1169.719959442444
-1452.4259720436396,0.16560086848957445,1169.6977997616455
-1452.4243027008374,0.16567248105940507,1169.6499122026837
-1452.4352397144626,0.16540653206895883,1174.508790651296
-1452.43533436439,0.1654050152941709,1174.5505040509313
-1452.4353320626585,0.1654050477071616,1174.5499152986945
