Likelihood,0 < |s| <= 1e-5,1e-5 < |s| <= 1e-4,1e-4 < |s| <= 1e-3,1e-3 < |s| <= 1e-2,1e-2 < |s| <= 1
-1478.9355883375822,0.28382432759195225,0.0,0.2668550094024796,0.35785470862463703,0.09146595438985551
-1478.9355866103756,0.28382390630574855,0.0,0.2668567017548173,0.35785068075408466,0.09146871138572991
-1478.935585799266,0.283824174246243,0.0,0.2668559033779453,0.3578529009536438,0.09146702142229353
-1478.9355825230666,0.2838240416602621,0.0,0.266856960913655,0.3578504720100641,0.09146852541632425
-1478.9355810057084,0.2838242909677603,1.341588014903519e-11,0.2668567944776504,0.3578498735245409,0.09146904101663253
-1478.9355805756677,0.28382430314239104,0.0,0.26685681997662036,0.35784988219146413,0.0914689947621384
-1478.935579159831,0.28382407290343054,0.0,0.26685765812546414,0.357848471673305,0.0914697973250595
-1478.93557839237,0.2838246588951109,5.595856310970147e-10,0.2668564367228057,0.35784984835804906,0.09146905546444865
-1478.9355732799163,0.28382617138998045,1.03362964779169e-11,0.2668525626960354,0.3578595196480874,0.09146174625556076
-1478.9355718306279,0.2838257643955996,0.0,0.26685520235408267,0.3578498203196471,0.09146921296841012
-1478.9355710103912,0.28382695205909114,0.0,0.2668513758139283,0.3578597477107228,0.09146192443567416
-1478.9355615537545,0.2838223179736371,1.1538987201745092e-10,0.26686246956432697,0.35785127709360337,0.09146393525304261
-1478.9355584085415,0.28382550262049777,6.894363749806987e-11,0.26685842591878806,0.3578433719375488,0.09147269945422168
-1478.9355548314147,0.28383419103417795,9.350228940473463e-19,0.2668398338641755,0.35786307194981704,0.09146290316812515
-1478.935554499551,0.28382570864613416,4.536750107522418e-18,0.26685472215180006,0.3578655664528747,0.09145400275847508
-1478.9355523421982,0.28382851571851225,9.058371023294906e-11,0.2668524119324016,0.3578504548326473,0.09146861742585517
-1478.935550274533,0.2838465218749945,8.814181324530992e-11,0.2668141403282032,0.3578931939290512,0.09144614377960934
-1478.935545741385,0.2838271453515159,9.504161857964513e-12,0.2668570077222943,0.35784308058066466,0.091472766336021
-1478.9355409941177,0.2838176258120136,1.027905022349087e-11,0.2668792309507446,0.35782123357513274,0.09148190965182998
-1478.9355328685558,0.28383730052351963,5.594083230812094e-17,0.26683066749534107,0.35790724666060925,0.09142478537237358
-1478.9355181137619,0.28383736677518123,1.2496563219247684e-18,0.26684051158306155,0.35785260976843664,0.09146951188053612
-1478.9354637031022,0.2838407537830159,9.475911463829484e-18,0.26684247269609884,0.3578459077220558,0.09147086583422467
-1478.9353965200012,0.28390408828850866,0.0,0.2667493260343731,0.3578881372513953,0.09145844843063439
-1478.935393067122,0.2839081504140214,4.702370091465568e-14,0.2667442910111764,0.35789059082571917,0.09145696777089984
-1478.9351866816796,0.2839237063789264,3.041732696843234e-11,0.2667707611195111,0.3578746078818423,0.09143092458930235
