Likelihood,alpha,beta
-1474.1846094422353,0.2551007106176257,477.3313996555692
-1474.18427292312,0.2551142756954869,477.2257507896679
-1474.1797961716481,0.25541896236417194,475.2723243615511
-1474.1845341411722,0.2551028716562081,477.3190069071615
-1474.184609442501,0.25510071061062034,477.3313997047896
-1474.1839714046769,0.25512092286753446,477.20400848620665
-1474.1845957175212,0.2551011257167313,477.3288384895839
-1474.1834745277588,0.2551245639114866,477.2775350663473
-1474.1844819537673,0.255103709033366,477.3196730875851
-1474.1846000562516,0.2551008828859265,477.33121090670835
-1474.182827266151,0.2551552902180847,477.0146543695713
-1474.1821669160738,0.255168889675665,476.98583623057107
-1474.1846047755444,0.25510083332730665,477.3307864199266
-1474.1846049379076,0.2551007818946519,477.33146852142096
-1474.184609337414,0.2551007135280637,477.33138373967995
-1474.184477229591,0.25510363831085203,477.32180638403736
-1474.1840267921064,0.25512380702777954,477.1576552575301
-1474.1846093889849,0.25510071125953426,477.3314032949058
-1474.1846094423076,0.25510071061231615,477.3313997050164
-1474.1845873369616,0.2551013756266255,477.3273260297836
-1474.1846094411897,0.25510071064519824,477.33139954042844
-1474.1845925651328,0.2551011318574499,477.329498391722
-1474.172331769763,0.2556608891482024,474.48422529895544
-1474.1812347224782,0.25520731088281196,476.7287082052696
-1474.1834288024327,0.25516344182731565,476.83661124303376
