Likelihood,alpha,beta
-1452.9772847821373,0.20704265742215838,707.182152526135
-1452.9757423424187,0.20709938927391405,706.2303228263952
-1452.9772765367613,0.20704284225362862,707.1797522647856
-1452.9772093155736,0.20704562934349044,707.1173485767133
-1452.9772801566749,0.20704129974737406,707.2339237303089
-1452.9757934005013,0.2070736331206965,706.8551101123057
-1452.9772817558407,0.2070426492210846,707.1839309256655
-1452.977284934448,0.20704265620232534,707.1821203024201
-1452.9736079620857,0.207126626079464,706.2283959892978
-1452.9772796268537,0.20704277026741272,707.1807463567927
-1452.9673477898261,0.20733448567037743,705.2376372237322
-1452.9757442191672,0.2070749793251313,706.8344753879744
-1452.977252715552,0.20704339608980893,707.1721409379767
-1452.9745407411845,0.20717732630814692,705.0540390877281
-1452.9772849329445,0.20704265623323417,707.1821199357142
-1452.9772593106532,0.2070432230358026,707.1749316404968
-1452.9743369275025,0.20709671755449013,706.9649300172049
-1452.975559287563,0.20712968530627804,705.6878760712767
-1452.9750379942234,0.20716711438027516,705.1417554723362
-1452.9751885332992,0.20716124455883084,705.2136896036243
-1452.9658354342669,0.20740096010314824,703.2674565062706
-1452.9771353276744,0.20704711503966766,707.1020960485416
-1452.976949712176,0.20704833570727063,707.1502368148176
-1452.971033684257,0.2071758738381032,706.1087631318409
-1452.9772296959754,0.20704349829382615,707.1799406988747
