Likelihood,0 < |s| <= 1e-5,1e-5 < |s| <= 1e-4,1e-4 < |s| <= 1e-3,1e-3 < |s| <= 1e-2,1e-2 < |s| <= 1
-1454.247124491047,0.30390055384518594,4.395350118482737e-13,0.2791721590924999,0.29258132423110733,0.12434596283076738
-1454.247122341225,0.303900415363733,3.263320027342611e-13,0.27917291618186285,0.29258017311396023,0.12434649534011746
-1454.2471204889498,0.30390044080630896,1.5266879960826224e-13,0.27917322209932643,0.29257952543604926,0.12434681165816278
-1454.2471194834895,0.3039011048034371,5.235634754246262e-13,0.2791717794519234,0.29258097854200565,0.12434613720211019
-1454.2471176288784,0.3039007301151631,6.89275644278676e-14,0.27917310642919085,0.2925790635943903,0.12434709986118689
-1454.247117308036,0.30390029119889933,1.0845519167304696e-12,0.2791739556225792,0.2925792778915957,0.12434647528584132
-1454.2471154156394,0.30390126134278983,0.0,0.2791719183565289,0.29258130264170734,0.1243455176590987
-1454.2471134048708,0.30390131223920647,0.0,0.2791723535116599,0.2925798422357973,0.124346492013597
-1454.2471109739533,0.3038998678123358,0.0,0.27917780743745485,0.2925679944017604,0.12435433034867961
-1454.2471108603606,0.30390007214962916,1.6324586285397436e-18,0.2791710679287425,0.29260337865869007,0.1243254812629712
-1454.2471088383854,0.30390202808269523,2.943100407479249e-13,0.27917119112646693,0.292581646394516,0.12434513439602746
-1454.2471060907656,0.3039030459073914,0.0,0.2791695634164007,0.29258170928103683,0.12434568139537751
-1454.247105728575,0.3039007180320011,4.3518762202275456e-14,0.27917647832449,0.29256965466517143,0.12435314897829404
-1454.2470950734785,0.3039180614625321,2.082658556797375e-14,0.27913645278933685,0.2926168665349697,0.12432861921317626
-1454.2470930575844,0.3039050071663311,0.0,0.27916710952623225,0.29258343347105925,0.12434444983685669
-1454.247084830066,0.3038836393567186,3.458132997286241e-14,0.2792395173606747,0.29245682841921206,0.12442001486344047
-1454.2470437179525,0.3039298438668317,9.416212245701197e-15,0.2791184958431314,0.29263757586547834,0.1243140844245499
-1454.2470362742508,0.30389889688699573,6.977681213488104e-14,0.2791887531603114,0.2925762307319587,0.12433611922066454
-1454.246996090738,0.3039345619099693,2.310808380638032e-18,0.27911319652145467,0.29266629247193593,0.12428594909776976
-1454.246907945557,0.3038860228085871,5.595793738551988e-15,0.2792615008186934,0.2924840059801715,0.12436847039254237
-1454.2468050989053,0.3039841562951941,9.48277338875047e-15,0.27908946978794136,0.29256851417072555,0.12435785974612991
-1454.2467650956653,0.30391056139920386,1.1698188837218317e-13,0.2792634085619789,0.29247939255388283,0.12434663748481799
-1454.2467641445326,0.30393936421839035,2.639172210058753e-20,0.279161713963621,0.2925883284029643,0.1243105934158099
-1454.2467553940187,0.3039400830030426,0.0,0.2791722164396344,0.2925950798839538,0.12429262067368355
-1454.2466449967824,0.3039633426596093,5.984872098277643e-11,0.2792226265269656,0.2923702366984836,0.12444379405674877
