Likelihood,alpha,beta
-1451.506642792445,0.19679489344518664,790.3726178858328
-1451.504533878366,0.1968478882181079,789.345869643487
-1451.501473220398,0.19690526680650822,788.9270451221084
-1451.5061151383902,0.19681074470665588,789.9344458904162
-1451.5068853987898,0.1968008355305328,789.9315252205307
-1451.505846284091,0.1968361140937105,789.2316980418683
-1451.5071597441383,0.1967902215570885,790.2085021103203
-1451.4971248568404,0.1970803424554646,787.8640318133422
-1451.5009837890823,0.19694617151003485,789.4427410523004
-1451.5045576986151,0.19684900543872,789.2996023729638
-1451.5071025200057,0.19679157597085725,790.182708273229
-1451.5063305907643,0.19680540093833715,790.0370345967456
-1451.5051739332212,0.1968310628878699,789.637408493501
-1451.5071575597246,0.1967902765720696,790.2073648340141
-1451.5071574668937,0.19679031004268077,790.2059382817821
-1451.506915904677,0.1967898765034519,790.4276262318333
-1451.5017279619701,0.19689618364941106,789.2482125364742
-1451.493224303142,0.19722330075478697,785.3921518224925
-1451.4971376444512,0.19704617177904526,786.8710309911786
-1451.500929649248,0.19706114274486455,785.7435966244138
-1451.5070052384071,0.196789923310083,790.3320380512597
-1451.5059874878834,0.19681093142017744,790.0057247284511
-1451.5071399090457,0.19679058598313423,790.2041695340589
-1451.5052189675873,0.19683448128888342,789.496394995797
-1451.5006664991233,0.1969375263614849,788.2372968597831
