Likelihood,alpha,beta
-1450.858460015547,0.18905428477954378,866.5852002470268
-1450.8663988022006,0.18884171515927542,868.1460734945633
-1450.866547553454,0.18883856515050845,868.2055718922646
-1450.8670274781591,0.18882694102303274,868.4803876516729
-1450.858396617924,0.18917646699537272,862.1749704918395
-1450.8657032753592,0.18885239660539713,868.0591605261046
-1450.8667338294729,0.188832224253886,868.4013552371773
-1450.8569447467758,0.1891372182524679,865.5554425188955
-1450.8669341569341,0.18882867144823418,868.4522622871101
-1450.8670299795865,0.18882685153509293,868.4834821227374
-1450.8542027995597,0.189241186166882,863.7038592462965
-1450.86209102138,0.18893861666284015,866.517268430709
-1450.8670395044605,0.18882672316614382,868.4837521858854
-1450.8669953756873,0.18882759024816265,868.4677756838407
-1450.8670378755023,0.18882674492948587,868.4837157983446
-1450.866994609271,0.18882749930647452,868.4732211689546
-1450.8670403531837,0.18882671139658488,868.4837945605467
-1450.8647888085022,0.18893704308381024,865.8287308231314
-1450.866861752011,0.18882965044419459,868.4502916324092
-1450.8539438665102,0.18924517721128153,862.0721148670259
-1450.8670013213032,0.18882741579839582,868.4730321789144
-1450.8670046143745,0.1888272085637713,868.4819699110559
-1450.8662472045055,0.18884092266130298,868.2782771490821
-1450.8527629665814,0.18933323115606976,861.8095645607445
-1450.8537433692654,0.18930479382128262,861.1515433708607
