Likelihood,alpha,beta
-1456.2735009871578,0.22139377052255338,616.0651390733909
-1456.282650704102,0.22097427967506517,618.7752462405476
-1456.2850141922465,0.2209296774745517,618.7591030352309
-1456.2848256279767,0.22093325847348394,618.7401859446716
-1456.2735135200353,0.2212709768373367,616.1973214843351
-1456.2805797805488,0.2210622185226748,618.591017390368
-1456.2853499412302,0.22092243929917146,618.8162124916928
-1456.283266720394,0.2209743883244936,618.325099663835
-1456.2844472256872,0.22093739118140826,618.7955248243211
-1456.2853558939423,0.22092208504334476,618.8230868811407
-1456.2791366936967,0.2210644103670072,617.9342944925376
-1456.285260593604,0.22092423681339038,618.8041797361568
-1456.2853496597484,0.22092222151569968,618.821956965922
-1456.2850349115758,0.2209290137147178,618.7681618266677
-1456.2853065173827,0.22092354764077102,618.8043232852671
-1456.2804082236785,0.22105723393129043,617.5587796222102
-1456.2853457062592,0.2209224511308683,618.8175327150587
-1456.2810724848628,0.22101609412331844,618.1965357184979
-1456.2853508274884,0.22092219175137448,618.8222777839649
-1456.285355827791,0.2209220851976907,618.8231084856634
-1456.2852067112153,0.22092527509254958,618.7981633219978
-1456.2850003325673,0.22093048951008373,618.7437835756341
-1456.285100092702,0.2209233621831506,618.9019680601192
-1456.283500636902,0.22095549711181117,618.752906592608
-1456.2851552684215,0.22092440765981225,618.8429940375878
