Likelihood,alpha,beta
-1459.4375659293637,0.2299633140749648,572.6011819701457
-1459.4339579893717,0.23004281381153355,572.1980615325033
-1459.4376954371144,0.22996004856343533,572.6285477122927
-1459.4370238735546,0.2299764689042092,572.5004906404423
-1459.4376966369439,0.22995997055846115,572.62984316633
-1459.4330900697362,0.2300747074884307,571.835360209918
-1459.437540597711,0.22996314713296714,572.6133451373238
-1459.4373723343451,0.22996835694914658,572.5574865734579
-1459.4347818647695,0.2300327095427834,572.0908905163262
-1459.4376001022686,0.2299630716302722,572.5951835901875
-1459.4375079201225,0.22996358868514735,572.6148910952393
-1459.433803546738,0.2300464088284814,572.1845898703289
-1459.437595487615,0.2299617098055902,572.6261711845013
-1459.4233334575954,0.23052887790714524,568.9456254325407
-1459.4347632053334,0.23002472344217906,572.6705008859083
-1459.4376679484087,0.2299606221416793,572.6253106180044
-1459.4376966379448,0.22995997053554154,572.6298433592527
-1459.4292121819428,0.2301809199055219,571.3315696106339
-1459.437696638781,0.2299599705036172,572.6298437539874
-1459.436024668687,0.22999898299168461,572.3606304309351
-1459.4368032235545,0.22998136084083926,572.4702079420732
-1459.437497720927,0.22995609834755326,572.8408175316506
-1459.4376588411965,0.22996078482610854,572.6248366272671
-1459.4371374939344,0.22996911371637221,572.6260755602
-1459.4339555397057,0.23005684542038618,571.896370064012
