Likelihood,alpha,beta
-1450.578634424186,0.18669285564114088,878.386039883531
-1450.5797487609689,0.18663281076608565,881.4076153891946
-1450.5862870657584,0.18646524281804802,882.4871584787772
-1450.5829947089635,0.18653690367501552,881.1826569384692
-1450.5862988707095,0.18646540711831502,882.4700584309313
-1450.58584260212,0.18647156005629617,882.4615793663921
-1450.5863856033036,0.18646371222354627,882.5017120417646
-1450.5863746039336,0.18646386220594877,882.5012046033723
-1450.5801493970043,0.18664049907321312,879.1869164515947
-1450.585639559417,0.1864713194768814,882.7972795353536
-1450.5810705132546,0.1866626836681242,878.4852911801397
-1450.5863836437038,0.1864637461268177,882.5012310979916
-1450.5863011786337,0.18646535835818534,882.4710921922809
-1450.5857722285289,0.18649421965796248,881.5729076951235
-1450.5860606359693,0.18646890069435876,882.4472375290063
-1450.5863856029305,0.1864637123033973,882.5017078776189
-1450.5860389197287,0.18646937533001864,882.4366002786763
-1450.5863015046882,0.18646892048681654,882.2971159081865
-1450.5860926965324,0.186468335652009,882.455415684109
-1450.5822759455343,0.18653909205432362,881.5348821223608
-1450.5863855999207,0.18646371228708525,882.5017108324613
-1450.5823258472758,0.18653769117098937,881.5732808793567
-1450.5849119354723,0.18651066671716393,881.3317648365336
-1450.576793234929,0.1866962490035125,878.9373769182306
-1450.5759258117434,0.18674797290461428,878.001744663565
