Likelihood,alpha,beta
-1450.8882749843488,0.1728805598074268,1073.0006314569546
-1450.8971146401536,0.17259841934933914,1080.422026979961
-1450.896847588142,0.1726030939286126,1080.2970940101939
-1450.8968174600345,0.17260308404964592,1080.3284628309825
-1450.8843022946905,0.1729358143419474,1072.948661674157
-1450.8933736208826,0.17270015591089843,1077.2452538132275
-1450.8971321519407,0.1725982352566635,1080.4198505573113
-1450.885873539323,0.1729332775057154,1075.3812301449645
-1450.8913592518643,0.1727919825038525,1074.746169006833
-1450.8930520915817,0.1726878475007194,1077.879947549194
-1450.8971332389044,0.17259829565029972,1080.4136036412406
-1450.884705085337,0.17296652098315443,1071.8852489835103
-1450.8915060511995,0.17275640149309784,1075.8408998685254
-1450.8969091208937,0.172598961210221,1080.6352659376769
-1450.8841532293297,0.17300212156871136,1071.2426173253916
-1450.8963132908257,0.17261842348539586,1079.6609071920184
-1450.897132928667,0.1725982962032871,1080.4138706272422
-1450.8830716691004,0.17302234434690744,1071.4487794173056
-1450.895965335123,0.1726211381348958,1079.7295409714031
-1450.8872540680675,0.1729135361070036,1072.3977216263602
-1450.8971332529916,0.17259829540284172,1080.4136105998725
-1450.8843310446646,0.17299537611949173,1071.3244985482281
-1450.8947556505088,0.17267344614805055,1077.8000993286962
-1450.8846439686959,0.17292956251945704,1072.9383118225749
-1450.8971290867637,0.17259836554336286,1080.4118715253003
